episode,username,comment,quoted_user,quoted_text,join_date,post_num
Ep11,Rasco,"

For real Facts my nigaa

Behold of my awesomeness~ 
controversial and/or sensitive topics likely devolve into the same repetitive, derogatory, abusive, and harassing comments can no longer be posted.
But my feels. ",HibiChika,HibiChika said:blue+lock=block because their flow ain't worth jackshit if all the players get in the zone. just upgrade from shikai to bankai already!,Mar-10,56284.0
Ep14,natik_m_7,"

IT WAS LOOKING LIKE FAN ANIMATION, BUT IT WAS LOOKING GREAT AT THE SAME TIME. I DON'T CARE ABOUT THE ANIMATION RIGHT NOW THE STORY WAS PEAK.

RIN'S AWEKENING WAS CRAZY. 
10/10 EPISODE 
AND 
8/10 FOR THIS SEASON.",,,Jul-24,20.0
Ep4,adbeaver,"

Yea I get you, it's like he's doing it on purpose lol",yellowheartren,"yellowheartren said:@adbeaverYeah, no, I remember that. But his jersey number is 7, at least here.",Mar-15,1074.0
Ep14,Ayzeen_,"
A goal redeemed a terrible work in preparation for years yeah right 



Otherwise without being part of the bandwagon and being objective, this season was terrible as a whole but few exceptions like this episode and the Shidou episodes (11 I think) made it not a complete mistake.

The last episode was good, definitely not a perfect episode like people say it is, maybe if it had the whole episode animated well and not the last 5 minutes only it'd be possible but with that it's just a good episode, solid 8.5/10.

Doesn't excuse the terrible episodes we had the whole season, 8bit had 2 years to make something out of the highest selling manga of 2023 and they did so bad a lot of people dropped it during the middle.

Hopefully next season won't have the same structure with a few good episodes and the rest that makes you wanna stop watching anime all together.Ayzeen_Dec 31, 2024 12:59 AM",Volts71,"Volts71 said:That goal was the greatest thing I've ever seen in an anime , everything aside Isagi's goal redeemed the entire season and we're all in for next one , The Neo Egoist League !! Also Kuigami's reveal in the end gave me goosebumpsTHE PEAK LOCK IS REAL 🔥⚽",Sep-18,4.0
Ep1,Beautimus,"
At least it's not the worst lol😂😂😂😂😂😂😂😂😂😂😂😂😂😂",IzanaSolos,"IzanaSolos said:It's back, worse than ever, as seen in the PVs lmao. Last season I could kinda look over it, I mean the first couple of episodes actually looked good, but this time around, half this episode is just still frames... LOL. God, 8bit is so ASS.Animation whatever, picking up RIGHT where we left off with the third selection, easily the worst arc of the show, so I kinda get why 8bit doesn't care for it all too much. I could care less as long as they do U-20 well. Anywho, to this day I still find it crazy that Isagi didn't get picked here. But what's worse than the Isagi not getting picked? His friends getting chosen instead. And Bachira... yeah, he's talented, but is he really fit to be a striker? Has the dude even scored a goal yet?Though, yeah, drawings look good as always, but 8bit YET again has another ""yapfest"" show on their hands with this, and it dosen't even move as well... this is legit just TenSura season three if it were soccer now. Whatever that's the last time I'll complain about the animation, But yeah, it’s like the old codependency, like how Isagi was with Bachira before. But this time, it’s one-sided and this guy really likes Rin now. Speaking of liking each other, I still to this day find it so sad how Nagi left my boy Reo. This episode just showed why he's one of the realest and best character in the show still.Doesn't really bode well with me that most of the shots in the PVs were in this episode, but what did we really expect lol. A fine start, I guess? Not much to work with when it comes to this arc, but we'll see how it'll go from here.OP was a visual vomit to watch, and ED sounds good as usual, but them visuals... sigh.",Aug-22,3.0
Ep14,joshlill,"
Feel genuinely sorry for you if that’s the best thing you’ve ever seen in anime",Volts71,"Volts71 said:That goal was the greatest thing I've ever seen in an anime , everything aside Isagi's goal redeemed the entire season and we're all in for next one , The Neo Egoist League !! Also Kuigami's reveal in the end gave me goosebumpsTHE PEAK LOCK IS REAL 🔥⚽",Mar-24,78.0
Ep14,Volts71,"
For someone who doesn't play soccer , you wouldn't get how insane Isagi's goal was. Equalizer breakers in additional time is the greatest joy for players and the animators displayed that perfectly and that's why that goal and celebration is peak. Plus I don't really care about the animation as long as they deliver at important moments it's good because blue lock story has always been great. Anyways Retards won't understand 🤷Volts71Jan 1, 8:04 PM",Ayzeen_,"Ayzeen_ said:Volts71 said:That goal was the greatest thing I've ever seen in an anime , everything aside Isagi's goal redeemed the entire season and we're all in for next one , The Neo Egoist League !! Also Kuigami's reveal in the end gave me goosebumpsTHE PEAK LOCK IS REAL 🔥⚽A goal redeemed a terrible work in preparation for years yeah rightOtherwise without being part of the bandwagon and being objective, this season was terrible as a whole but few exceptions like this episode and the Shidou episodes (11 I think) made it not a complete mistake.The last episode was good, definitely not a perfect episode like people say it is, maybe if it had the whole episode animated well and not the last 5 minutes only it'd be possible but with that it's just a good episode, solid 8.5/10.Doesn't excuse the terrible episodes we had the whole season, 8bit had 2 years to make something out of the highest selling manga of 2023 and they did so bad a lot of people dropped it during the middle.Hopefully next season won't have the same structure with a few good episodes and the rest that makes you wanna stop watching anime all together.",Sep-20,217.0
Ep8,OtakuKun1,"
I have to admit it as well, you’re right. Ego told them how Japan U-20 looks like and what kind of things could they encounter, but U-20 knew nothing about Blue Lock and they were too confident that they’ll definitely win the match with no difficulties.My tickets - MAL Bunkasai 2024:

https://imgur.com/a/m7ANrqo
https://imgur.com/a/xH8YXqt
https://imgur.com/a/NnZK4E1
https://imgur.com/a/NSutGkk
https://imgur.com/a/6t8z0bQ
https://imgur.com/a/rsqzLSO
https://imgur.com/a/UIuELJD
https://imgur.com/a/OpmB5P2

",PrimeX,PrimeX said:To be fair Blue Lock had time to study the U20 team while the U20 had no idea who they were and what they can do,Oct-22,1084.0
Ep5,yummy_W4ffle,"
I think that he evolved, in the match againts isagi he was not good anouth the beats king but he probably changed a lot
but it's suprising how much he changed anouth to beat king",PrimeX,PrimeX said:I didn't expect Niko to be chosen over Barou or Reo,Jul-24,201.0
Ep6,neffst3r,"
I thought the CGI was ok when Bachira was dribbling, but I’m more curious (afraid lol) about next episode tbh.",samsince04,"samsince04 said:That ep had me so hyped man. Hearing match noises is just so surreal. Isagi's parents are so worried lol. Anime-onlies are going to lose their minds when they see Chigiri's fellow species.As usual, I can't really tell what bad animation is unless it's glaringly obvious like in most of the practice matches we had in previous eps. I thought it was good, the ball actually moved and less still frames I think? But the CGI that just pops up for like a second is kinda off-putting.The match starts with Bachira cooking his man and delivering a ball to Isagi but Aiku reads it and it's a throw-in for Blue Lock. I'm not sure why Isagi was so shocked tho. Didn't seem like that much of an impressive play to me. Additional time was great as usual.",Jan-19,426.0
Ep1,JaysonNnN,"
I usually find your reviews moderate and fair, but here, I find that you are in excess for real. But each to their own tastes obviously !",IzanaSolos,"IzanaSolos said:It's back, worse than ever, as seen in the PVs lmao. Last season I could kinda look over it, I mean the first couple of episodes actually looked good, but this time around, half this episode is just still frames... LOL. God, 8bit is so ASS.Animation whatever, picking up RIGHT where we left off with the third selection, easily the worst arc of the show, so I kinda get why 8bit doesn't care for it all too much. I could care less as long as they do U-20 well. Anywho, to this day I still find it crazy that Isagi didn't get picked here. But what's worse than the Isagi not getting picked? His friends getting chosen instead. And Bachira... yeah, he's talented, but is he really fit to be a striker? Has the dude even scored a goal yet?Though, yeah, drawings look good as always, but 8bit YET again has another ""yapfest"" show on their hands with this, and it dosen't even move as well... this is legit just TenSura season three if it were soccer now. Whatever that's the last time I'll complain about the animation, But yeah, it’s like the old codependency, like how Isagi was with Bachira before. But this time, it’s one-sided and this guy really likes Rin now. Speaking of liking each other, I still to this day find it so sad how Nagi left my boy Reo. This episode just showed why he's one of the realest and best character in the show still.Doesn't really bode well with me that most of the shots in the PVs were in this episode, but what did we really expect lol. A fine start, I guess? Not much to work with when it comes to this arc, but we'll see how it'll go from here.OP was a visual vomit to watch, and ED sounds good as usual, but them visuals... sigh.",Oct-19,873.0
Ep14,certifiedbinger,"
I've really grown to hate the fact that I have to spend the first few seconds of opening a random thread by reading a stupid ass comment made by a Sasuke pfp, who clearly doesn't like what they're watching, but still feels the need to rush in and be the first one to shove their abysmal take in everyone's face.

I feel embarrassed, but I think I should vent occasionally.",IzanaSolos,"IzanaSolos said:Always remember, this is a sports manga. So please explain to me WHAT THE FUCK IS GOING ON??? We got this dude DROOLING ON THE FUCKING FIELD WITH HIS TONGUE OUT... bro. This show man... and this studio had the FUCKING NERVE TO PUT THE LICKING SOUND EFFECTS WHEN HE CAME FACE-TO-FACE WITH OLIVER... LIKE HELLO???But yeah, again, we in a shounen, so Rin whipping his tongue out and drooling all over the field is all that it takes to make him untouchable... unless THIS DUDE SHIDOU JUST FOULS HIM???? But even with that foul, Rin LOCKS THE FUCK IN... and misses the shot and passes it straight to Sae... LMAOOOOOOOOOOO. Though, I gotta hand it to them, only a second into the second half of the episode AND GOD THEY MOVED... IN 2D??? NOT CGI??? HELLO???And that kagenashi style part with Rin vs. Sae... god. 8bit man WHY COULDN'T YOU COOK LIKE THIS ALL SEASON??? No dialogue, good animation, AND THE MC ACTUALLY DOES SOMETHING FOR ONCE??? NOW THIS IS A SPORTS MANGA. Was this payoff worth the tourment of the all the rest of the season? FUCK NO. I think in my head I remembered this arc to be better, but nah man. The constant talking was so tiring PLUS the  animation... what a blunder of a season man.But that post credit scene does get me scared. I mean, one, ANOTHER SEASON of this would be an embrassment PLUS, this next arc, well, isn't the best lmao.",Jan-21,1948.0
Ep11,certifiedbinger,"
Isagi's goals have always been built up throughout the match. He's gathering 'pieces', like he has mentioned several times. Observing conditions that he needs to fulfill to score.
Every detail he observes factors into his final goal. It's honestly a clever style of writing if you pick up on it, despite the fact that Blue Lock is meant to be a very surface level, edgy experience. Subtle build up and foreshadowing.

It's honestly funny how every single episode discussion starts with someone shitting on Isagi; it's as if y'all are more passionate about jumping on the thread first, and comprehend what you saw later.",Softhenic03,"Softhenic03 said:Like I’ve said this so many times, but the amount of talking Isagi does inside his head doesn’t equate to even one percent of what he actually ends up doing on the field. Dude is spamming non-stop how he will score the goal, but yeah, when will that be? Anyway, usual complaining with the animation aside, because at this point it’s plain useless, that biology of birth from Shidou was just as dumb as his orgasm when he scored the second goal with those pink ass feathers or whatever lol. Like what the hell was that entire bit lmaoooo.Goal was dope btw. Though again, people like Shidou are achieving flow and then there is this bum Isagi, saying shit like he should’ve done that or done this. Dude nobody is stopping you, so pls do. Though can’t disagree that it was his words which led Ego sub Barou in. The ultimate edgelord who lacks every sort of vocabulary. Still though, if blue lock wants to comeback in this match, only this guy can help them do so with his uber selfish play.",Jan-21,1948.0
Ep2,NegativeRei,"
Isn't Blue Lock one of the best selling manga? The first season also did really well. Why can't there be consistent good quality?",Power_csm,"Power_csm said:Pre_Yum said:Oh boy... Isagi can't do anything in this game so far. Everyone's outshining him in one way or another and he can't seem to get past these top players. They're far behind his reach so far. But, it seems like there might be some hope for him, using Rin and Shidou in his favor going forward.By the way, the two kids on Isagi's team are so sweet. I like them both. Completely different than what Isagi is used to. LOL. Also, Chigiri was amazing during his time that even his top teammates were impressed by him. Very limited animation wise, sadly.Yes.I am guessing they saved the budget for the actual u20 match.Hope to see good animation in that match",Sep-24,399.0
Ep12,NobuchikaGino,"
It wasn‘t offside because of Aryu",gauravb28,gauravb28 said:I suppose there is no such thing as offside in blue lock verse. The pass from sae to Shidou was clear offside.I don't even have hopes from manga at this point. The story and characters are even worse than the animation.,Feb-21,2.0
Ep14,adbeaver,"
Lmaooo they finally entered the flow in the last minute.  

When the aspect ratio changed.. You know shit is about to get down. So this is where all their budget went to lol. 

Lol Rin just got baited by his brother. Sorry Rin, but Isagi's the MC. 

",WoodenTapl,WoodenTapl said:This must've been 8bit studio's flow.,Mar-15,1074.0
